nombre,prices,"Beds, Bathroom, Square",links
"2541 Mill Ave, Brooklyn, NY 11234","$699,000","4 bds,3 ba,1,806 sqft- House for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/2541-Mill-Ave-Brooklyn-NY-11234/30788973_zpid/ "
"100 W 57th St APT 12Q, New York, NY 10019","$113,000","Studio,1 ba,450 sqft- Condo for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/100-W-57th-St-APT-12Q-New-York-NY-10019/305378593_zpid/ "
"100 W 57th St APT 12I, New York, NY 10019","$150,000","Studio,1 ba,650 sqft- Condo for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/100-W-57th-St-APT-12I-New-York-NY-10019/81776186_zpid/ "
"8829 183rd St, Jamaica, NY 11423","$250,000","3 bds,2 ba,1,632 sqft- House for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/8829-183rd-St-Jamaica-NY-11423/32135323_zpid/ "
"303 E 57th St APT 44G, New York, NY 10022","$795,000","3 bds,4 ba,3,300 sqft- Condo for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/303-E-57th-St-APT-44G-New-York-NY-10022/2076710336_zpid/ "
"100 W 57th St UNIT 4JK, New York, NY 10019","$799,000","3 bds,3 ba,2,200 sqft- Condo for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/100-W-57th-St-UNIT-4JK-New-York-NY-10019/306707664_zpid/ "
"111 W 57th St PENTHOUSE 72, New York, NY 10019","$66,000,000","4 bds,6 ba,7,130 sqft- Condo for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/111-W-57th-St-PENTHOUSE-72-New-York-NY-10019/2077908081_zpid/ "
"9807 Avenue L, Brooklyn, NY 11236","$635,000","4 bds,3 ba,1,400 sqft- House for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/9807-Avenue-L-Brooklyn-NY-11236/30776342_zpid/ "
"83-80 118th St APT 5C, Kew Gardens, NY 11415","$249,888","1 bd,1 ba,725 sqft- Condo for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/83-80-118th-St-APT-5C-Kew-Gardens-NY-11415/79730012_zpid/ "
"5110 Beverley Rd, Brooklyn, NY 11203","$949,000","5 bds,3 ba,1,975 sqft- Multi-family home for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/5110-Beverley-Rd-Brooklyn-NY-11203/30655765_zpid/ "
